SampleID,X_ft,Y_ft,Lat,Lon,NearestPlotID,NearestPlotLat,NearestPlotLon,Distance_m,Decimal_Latitude,Decimal_Longitude
S001,156.4948680403453,100.44681887058655,48.62171923720275,82.09846445205191,Row21_Range10,48.621762904347825,82.09850275,5.6593735135665515,48.62171923720275,82.09846445205191
S002,11.606900549862935,242.6404040625651,48.622912083389636,82.09688136989713,Row02_Range22,48.622944643478256,82.0968416,4.694063497658199,48.622912083389636,82.09688136989713
S003,127.0626326247074,210.6211310934875,48.622643477266394,82.09814286808971,Row17_Range19,48.62264920869565,82.0981518,0.9233137356562088,48.622643477266394,82.09814286808971
S004,47.56908091927009,242.0516241873916,48.62290714418068,82.0972743016704,Row07_Range22,48.622944643478256,82.09727815,4.211116879495386,48.62290714418068,82.0972743016704
S005,97.19367291099323,212.91567984217272,48.622662725980895,82.09781651236864,Row13_Range19,48.62264920869565,82.0978047,1.7502697792565858,48.622662725980895,82.09781651236864
S006,133.9349586620939,110.31100372635935,48.62180198675348,82.09821795684208,Row18_Range10,48.621762904347825,82.0982392,4.6544029373905715,48.62180198675348,82.09821795684208
S007,83.96476848592374,239.13000902221737,48.62288263507568,82.09767197005166,Row11_Range21,48.62284616521739,82.0976295,5.162097541852003,48.62288263507568,82.09767197005166
S008,63.21873040378261,82.5036206384944,48.621568713706466,82.09744529365307,Row09_Range08,48.621565947826085,82.0974546,0.7575528955216303,48.621568713706466,82.09744529365307
S009,128.75698553935075,52.35303265640527,48.62131578377395,82.09816138101324,Row17_Range05,48.62127051304348,82.0981518,5.121791836831725,48.62131578377395,82.09816138101324
S010,40.90586602317052,179.4465668983469,48.6223819573112,82.09720149771863,Row06_Range16,48.62235377391304,82.0971916,3.242111839089605,48.6223819573112,82.09720149771863
S011,9.077778614802838,196.53245462123547,48.62252528892488,82.09685373607859,Row02_Range18,48.62255073043478,82.0968416,2.989600340624402,48.62252528892488,82.09685373607859
S012,95.82293147998027,180.37443894571925,48.62238974112671,82.09780153530508,Row13_Range16,48.62235377391304,82.0978047,4.036597917193823,48.62238974112671,82.09780153530508
S013,79.72166024296479,176.03669705439583,48.62235335229195,82.09762560879022,Row11_Range16,48.62235377391304,82.0976295,0.29286740173598164,48.62235335229195,82.09762560879022
S014,151.4302705986945,206.94983532034158,48.622612679174075,82.09840911499413,Row20_Range19,48.62264920869565,82.0984135,4.1056843582377915,48.622612679174075,82.09840911499413
S015,65.63737545358262,265.36796675435346,48.62310274238777,82.09747172037355,Row09_Range24,48.6231416,82.0974546,4.535507880117259,48.62310274238777,82.09747172037355
S016,156.7834532862849,48.02905094617642,48.62127951037183,82.09846760520647,Row21_Range05,48.62127051304348,82.09850275,2.798419026665993,48.62127951037183,82.09846760520647
S017,77.08591672828605,131.1653907392703,48.62197693188898,82.09759680999765,Row11_Range12,48.621959860869566,82.0976295,3.090986532141789,48.62197693188898,82.09759680999765
S018,22.943308545705374,202.71813976058533,48.62257717995021,82.097005234325,Row04_Range18,48.62255073043478,82.0970162,3.073292046083513,48.62257717995021,82.097005234325
S019,30.231278158587536,44.45712129133012,48.62124954585084,82.09708486450297,Row05_Range05,48.62127051304348,82.0971046,2.7690346925851244,48.62124954585084,82.09708486450297
S020,114.10855721144134,13.331432922545726,48.62098843590952,82.09800132862323,Row15_Range02,48.62097507826087,82.09797655,2.372223077485416,48.62098843590952,82.09800132862323
S021,62.240404972112984,26.75664307274564,48.62110105850578,82.09743460422483,Row09_Range03,48.62107355652174,82.0974546,3.4206082729539995,48.62110105850578,82.09743460422483
S022,60.584031263050576,187.54547946352307,48.62244989818883,82.09741650627159,Row09_Range17,48.622452252173915,82.0974546,2.841799419812391,48.62244989818883,82.09741650627159
S023,144.28166340204004,261.4060657153529,48.62306950644017,82.09833100752473,Row19_Range23,48.62304312173913,82.09832615,2.9780625636335967,48.62306950644017,82.09833100752473
S024,83.12227203909345,196.3366099068365,48.62252364600533,82.09766276472486,Row11_Range18,48.62255073043478,82.0976295,3.913233352910806,48.62252364600533,82.09766276472486
S025,12.461778221933706,222.8905985280974,48.62274640446543,82.0968907105043,Row03_Range20,48.62274768695652,82.09692874999999,2.829142849927818,48.62274640446543,82.0968907105043
S026,114.79732041933806,242.12102638854984,48.622907726388036,82.09800885422223,Row15_Range22,48.622944643478256,82.09797655,4.781776147750614,48.622907726388036,82.09800885422223
S027,66.47173168538133,225.4831152039974,48.622768152799765,82.09748083675832,Row09_Range20,48.62274768695652,82.0974546,3.0092563317990373,48.622768152799765,82.09748083675832
S028,22.867603195110835,84.86327554435576,48.62158850858929,82.09700440714941,Row04_Range08,48.621565947826085,82.0970162,2.675179018091317,48.62158850858929,82.09700440714941
S029,39.87551611297407,136.05369527861205,48.622017939332615,82.09719023985792,Row06_Range13,48.62205833913043,82.0971916,4.527503554082299,48.622017939332615,82.09719023985792
S030,38.47430950681462,16.054125189908905,48.62101127627243,82.09717492992425,Row06_Range02,48.62097507826087,82.0971916,4.2404321763663955,48.62101127627243,82.09717492992425
S031,147.94035062217873,223.8174428551883,48.6227541796595,82.09837098325598,Row20_Range20,48.62274768695652,82.0984135,3.2407428181488798,48.6227541796595,82.09837098325598
S032,44.34145757776372,226.84700975472077,48.622779594359606,82.09723903585086,Row07_Range20,48.62274768695652,82.09727815,4.606591479186884,48.622779594359606,82.09723903585086
S033,158.8852642226671,17.834466790779707,48.6210262113603,82.0984905701182,Row21_Range03,48.62107355652174,82.09850275,5.381123016604663,48.6210262113603,82.0984905701182
S034,104.80407654422926,39.43350823601199,48.62120740331909,82.09789966554133,Row14_Range04,48.62117203478261,82.0978902,4.024564865388664,48.62120740331909,82.09789966554133
S035,74.56720483193479,41.05781515403411,48.62122102944935,82.0975692899218,Row10_Range04,48.62117203478261,82.0975425,5.838902154940668,48.62122102944935,82.0975692899218
S036,117.0734229027296,265.8693008120408,48.62310694802348,82.09803372348699,Row16_Range24,48.6231416,82.098064,4.486677201174851,48.62310694802348,82.09803372348699
S037,102.88751077576902,93.62761002508287,48.62166203161743,82.09787872466461,Row14_Range09,48.62166442608696,82.0978902,0.8936016876108149,48.62166203161743,82.09787872466461
S038,98.35246729912859,148.4761039498315,48.62212214953869,82.09782917364582,Row13_Range14,48.62215681739131,82.0978047,4.288520642606366,48.62212214953869,82.09782917364582
S039,140.01367858838987,25.46254663021785,48.62109020247451,82.09828437445567,Row19_Range03,48.62107355652174,82.09832615,3.620418686312549,48.62109020247451,82.09828437445567
S040,30.835630101887812,111.39349760948963,48.62181106767439,82.0970914678034,Row05_Range10,48.621762904347825,82.0971046,5.483654983990698,48.62181106767439,82.0970914678034
S041,146.04572975926828,5.632386340032771,48.62092384946319,82.09835028215478,Row19_Range01,48.6208766,82.09832615,5.589057466242179,48.62092384946319,82.09835028215478
S042,68.90178883263722,56.08046708124135,48.62134705280718,82.09750738817023,Row10_Range06,48.62136899130435,82.0975425,3.5838321195057885,48.62134705280718,82.09750738817023
S043,2.352305860676882,92.61883409978533,48.62165356910828,82.09678025188191,Row01_Range09,48.62166442608696,82.09675455,2.2637151948771774,48.62165356910828,82.09678025188191
S044,16.32663695331276,159.9591050899218,48.622218479159365,82.096932938917,Row03_Range15,48.622255295652174,82.09692874999999,4.1366241116172215,48.622218479159365,82.096932938917
S045,14.940362014526674,141.83230771704572,48.62206641547029,82.09691779213045,Row03_Range13,48.62205833913043,82.09692874999999,1.2170804899432268,48.62206641547029,82.09691779213045
S046,133.70968301212625,77.94953142357687,48.621530509958056,82.098215495424,Row18_Range08,48.621565947826085,82.0982392,4.343347433687311,48.621530509958056,82.098215495424
S047,99.93626170922914,228.46322403058713,48.62279315260159,82.0978464785795,Row13_Range20,48.62274768695652,82.0978047,5.964750269022648,48.62279315260159,82.0978464785795
S048,8.550731336051367,173.0348814975129,48.62232817039478,82.09684797742825,Row02_Range16,48.62235377391304,82.0968416,2.9074580556467167,48.62232817039478,82.09684797742825
S049,114.28466532993468,154.55588396656154,48.62217315213772,82.09800325282455,Row15_Range14,48.62215681739131,82.09797655,2.698789392008287,48.62217315213772,82.09800325282455
S050,150.57480089200467,86.35748184188091,48.6216010433199,82.09839976791824,Row20_Range08,48.621565947826085,82.0984135,4.062223095052475,48.6216010433199,82.09839976791824
S051,150.31788675242314,158.6524640004679,48.62220751789245,82.09839696081012,Row20_Range15,48.622255295652174,82.0984135,5.492151804826814,48.62220751789245,82.09839696081012
S052,17.051248172573015,36.815443731734014,48.62118544066686,82.09694085620035,Row03_Range04,48.62117203478261,82.09692874999999,1.750607524253011,48.62118544066686,82.09694085620035
S053,1.8143793146113119,13.747866154070238,48.620991929321626,82.09677437436198,Row01_Range02,48.62097507826087,82.09675455,2.394355407219223,48.620991929321626,82.09677437436198
S054,64.13292005519763,203.7116078359586,48.622585514043514,82.09745528231775,Row09_Range18,48.62255073043478,82.0974546,3.897468505766646,48.622585514043514,82.09745528231775
S055,48.763580458600586,202.81812562357013,48.62257801872051,82.09728735307098,Row07_Range18,48.62255073043478,82.09727815,3.1328557600446216,48.62257801872051,82.09728735307098
S056,47.067246665522774,28.36453000719151,48.62111454689062,82.09726881850388,Row07_Range03,48.62107355652174,82.09727815,4.6445568143338125,48.62111454689062,82.09726881850388
S057,44.30751467774334,261.6481982338222,48.62307153766296,82.09723866498224,Row07_Range23,48.62304312173913,82.09727815,4.328689703049512,48.62307153766296,82.09723866498224
S058,107.4407673513522,114.48141640212883,48.62183697188204,82.09792847468427,Row14_Range11,48.62186138260869,82.0978902,3.9449621296308606,48.62183697188204,82.09792847468427
S059,114.74279327800772,78.66070068962765,48.62153647587801,82.09800825844505,Row15_Range08,48.621565947826085,82.09797655,4.055948995852465,48.62153647587801,82.09800825844505
S060,91.67179411586187,262.38286586525936,48.62307770070809,82.09775617894046,Row12_Range23,48.62304312173913,82.0977178,4.809978632236828,48.62307770070809,82.09775617894046
S061,80.42835195621548,80.31078488159625,48.621550318250954,82.09763333028056,Row11_Range08,48.621565947826085,82.0976295,1.7740921409698505,48.621550318250954,82.09763333028056
S062,44.48931986696795,156.3131880512341,48.62218789396643,82.09724065143119,Row07_Range14,48.62215681739131,82.09727815,4.458823822252393,48.62218789396643,82.09724065143119
S063,8.673427073944513,52.84646505052608,48.62131992312348,82.09684931803257,Row02_Range06,48.62136899130435,82.0968416,5.527392578033566,48.62131992312348,82.09684931803257
S064,135.75486821900427,247.02794079940543,48.622948889947814,82.09823784162887,Row18_Range22,48.622944643478256,82.0982392,0.4863526745527388,48.622948889947814,82.09823784162887
S065,72.17786482121133,154.25245069998778,48.62217060666976,82.0975431833955,Row10_Range14,48.62215681739131,82.0975425,1.5457777959148613,48.62217060666976,82.0975431833955
S066,148.0568279109451,187.77462121916952,48.62245182043356,82.09837225591596,Row20_Range17,48.622452252173915,82.0984135,3.0639148941635352,48.62245182043356,82.09837225591596
S067,25.091037519614865,184.88415006314563,48.622427572592194,82.0970287009487,Row04_Range17,48.622452252173915,82.0970162,2.9168352799123216,48.622427572592194,82.0970287009487
S068,32.41783698090021,68.59168821935936,48.62145200805117,82.09710875539132,Row05_Range07,48.62146746956522,82.0971046,1.759585584668819,48.62145200805117,82.09710875539132
S069,95.03872816165472,73.17352120811192,48.62149044453903,82.09779296690357,Row13_Range07,48.62146746956522,82.0978047,2.7176418935909044,48.62149044453903,82.09779296690357
S070,129.9193707155004,189.37732428059826,48.62246526533146,82.09817408152428,Row17_Range17,48.622452252173915,82.0981518,2.2056403115376195,48.62246526533146,82.09817408152428
S071,84.03099094875179,99.24449532566472,48.62170915104412,82.09767269361485,Row11_Range09,48.62166442608696,82.0976295,5.950086434947539,48.62170915104412,82.09767269361485
S072,86.05801360918095,16.79818705925736,48.62101751812478,82.0976948413712,Row12_Range02,48.62097507826087,82.0977178,5.051512010074004,48.62101751812478,82.0976948413712
S073,123.8201311540024,98.43276990842642,48.62170234156979,82.09810743970802,Row16_Range09,48.62166442608696,82.098064,5.334525219425476,48.62170234156979,82.09810743970802
S074,32.21321703374713,240.02175028071213,48.62289011579402,82.09710651966262,Row05_Range21,48.62284616521739,82.0971046,4.926267963705561,48.62289011579402,82.09710651966262
S075,14.19058335851176,108.30353232119184,48.62178514629892,82.09690959986142,Row03_Range10,48.621762904347825,82.09692874999999,2.869381839687542,48.62178514629892,82.09690959986142
S076,129.37504322192552,227.34916345216607,48.622783806871176,82.098168134066,Row17_Range20,48.62274768695652,82.0981518,4.224809724029448,48.622783806871176,82.098168134066
S077,13.12577414884787,67.47957692674403,48.621442678673105,82.09689796548979,Row03_Range07,48.62146746956522,82.09692874999999,3.5977346975576654,48.621442678673105,82.09689796548979
S078,145.8518643408592,66.58620986069666,48.621435184316056,82.09834816393276,Row19_Range07,48.62146746956522,82.09832615,3.9696492176588034,48.621435184316056,82.09834816393276
S079,66.63972705946277,102.90936570458744,48.62173989523452,82.09748267231778,Row09_Range10,48.621762904347825,82.0974546,3.3156819554378036,48.62173989523452,82.09748267231778
S080,47.61003239917501,45.74609094355074,48.621260358874025,82.0972747491165,Row07_Range05,48.62127051304348,82.09727815,1.1653780576818864,48.621260358874025,82.0972747491165
S081,125.47083605637116,172.47310956159757,48.62232345775243,82.09812547572245,Row17_Range16,48.62235377391304,82.0981518,3.9192108195789532,48.62232345775243,82.09812547572245
S082,20.876441458243136,14.25210694502335,48.620996159341594,82.09698265121848,Row04_Range02,48.62097507826087,82.0970162,3.4334831278025497,48.620996159341594,82.09698265121848
S083,110.86181230595884,188.53664456592114,48.62245821296275,82.0979658538767,Row15_Range17,48.622452252173915,82.09797655,1.037895293091076,48.62245821296275,82.0979658538767
S084,45.426063986878745,97.16687603975484,48.621691722126776,82.09725088653164,Row07_Range09,48.62166442608696,82.09727815,3.6679554509327326,48.621691722126776,82.09725088653164
S085,140.7932115196237,132.59389733472767,48.62198891547209,82.09829289182736,Row19_Range12,48.621959860869566,82.09832615,4.086500752447848,48.62198891547209,82.09829289182736
S086,26.233446200107746,265.6218712284289,48.62310487236419,82.09704118319155,Row04_Range24,48.6231416,82.0970162,4.51401879086987,48.62310487236419,82.09704118319155
S087,129.5236567635378,154.76642864191047,48.62217491837361,82.0981697578547,Row17_Range14,48.62215681739131,82.0981518,2.4273700362786186,48.62217491837361,82.0981697578547
S088,57.31398318212314,134.02050301580636,48.62200088310863,82.09738077690874,Row08_Range12,48.621959860869566,82.09736595000001,4.726222214242461,48.62200088310863,82.09738077690874
S089,106.39292216715695,62.57168387050331,48.62140150690358,82.09791702566582,Row14_Range06,48.62136899130435,82.0978902,4.152365889082978,48.62140150690358,82.09791702566582
S090,68.4679286460501,3.1740339104081015,48.620903226617806,82.09750264770537,Row10_Range01,48.6208766,82.0975425,4.20270930997083,48.620903226617806,82.09750264770537
S091,68.40361244421669,246.28159540487374,48.62294262893923,82.09750194497046,Row10_Range22,48.622944643478256,82.0975425,3.020769524277945,48.62294262893923,82.09750194497046
S092,128.35083333331232,1.291465511151021,48.62088743396068,82.09815694329271,Row17_Range01,48.6208766,82.0981518,1.2725347667083553,48.62088743396068,82.09815694329271
S093,13.677666340605708,0.9089436479090862,48.62088422502727,82.09690399560185,Row03_Range01,48.6208766,82.09692874999999,2.0275404531990415,48.62088422502727,82.09690399560185
S094,54.66361840524236,117.94528651557373,48.62186602990355,82.0973518183606,Row08_Range11,48.62186138260869,82.09736595000001,1.171728777524892,48.62186602990355,82.0973518183606
S095,124.49054287034932,123.96827426960081,48.621916556078595,82.09811476479403,Row17_Range12,48.621959860869566,82.0981518,5.577457449366158,48.621916556078595,82.09811476479403
S096,16.334475343485106,123.52448596441475,48.621912833187814,82.09693302456122,Row03_Range12,48.621959860869566,82.09692874999999,5.278521544807862,48.621912833187814,82.09693302456122
S097,156.0387797497761,140.49911305933534,48.62205523144844,82.09845946871724,Row21_Range13,48.62205833913043,82.09850275,3.2336771649406115,48.62205523144844,82.09845946871724
S098,90.20012126486449,31.59639162505819,48.62114165861863,82.09774009907497,Row12_Range04,48.62117203478261,82.0977178,3.7850026763775735,48.62114165861863,82.09774009907497
S099,29.748315814422508,221.2979598282305,48.622733043996334,82.09707958753566,Row05_Range20,48.62274768695652,82.0971046,2.4785531982885893,48.622733043996334,82.09707958753566
S100,43.87666517210073,78.4512292850932,48.62153471864567,82.09723395741284,Row06_Range08,48.621565947826085,82.0971916,4.705473390118741,48.62153471864567,82.09723395741284
